	price
0	100.0
1	97.21506130335761
2	102.60909386161079
3	113.0055254442582
4	112.5170915890911
5	106.57321512075488
6	126.88259377257356
7	127.90337626437817
8	155.56504774400278
9	150.72487162943276
10	156.28322112193405
11	125.7788675262574
12	143.85852197570267
13	132.0785421033576
14	143.0686880508817
15	126.30263917924847
16	132.56847074555444
17	108.89225746141028
18	109.45316996370323
19	122.18337045576372
20	121.18251937953474
21	108.27794730356058
22	105.21203145042698
23	99.81428438225987
24	105.28517455467237
25	103.27508638412623
26	102.00312447725877
27	90.17860435149169
28	88.03630230834767
29	83.6795375158002
30	83.68533891247243
31	74.59343111012444
32	65.47111620298251
33	72.27650920340902
34	83.37700048582286
35	96.32331780875131
36	92.24588689815353
37	90.87378585331533
38	89.24292320666501
39	112.32291559590998
40	106.99623222035157
41	103.53305251495375
42	104.23043507538618
43	95.26022906047974
44	104.53688941524449
45	107.51811683676534
46	98.55465810507143
47	87.40248751612387
48	68.45426958753394
49	65.60205719902544
50	56.985967350361655
51	51.13300620778903
52	53.285813817951976
53	63.161465816242185
54	64.75788912712001
55	52.777597712664345
56	57.1440885146025
57	57.84817372928653
58	65.75189085176493
59	72.65045203756375
60	70.32272062233736
61	67.33284949217212
62	57.082617771803505
63	58.1214777943522
64	62.38735078643437
65	57.7098981033983
66	59.73131805460376
67	76.2321055797075
68	81.9777815691274
69	85.55025019223146
70	98.70192947459037
71	94.76534421821691
72	97.54334457079001
73	109.95512868829364
74	88.3678979082067
75	96.77982514950318
76	105.76149674485202
77	88.95705977381463
78	94.588558313583
79	75.98808293290939
80	64.12708245867185
81	56.3117024114309
82	50.45693144993441
83	53.2438428965895
84	53.51116837583774
85	54.367349859850904
86	54.83395240063931
87	50.1536665559365
88	61.53245545792948
89	61.40399553993362
90	59.98880207993257
91	67.35243320953883
92	68.30844810701396
93	61.03269097029556
94	58.239466756720944
95	61.7442488717223
96	54.50449483536041
97	49.4070176605545
98	45.37374499922858
99	41.87965100219979
