	price
0	100.0
1	86.98180838481835
2	89.07589220913194
3	76.01835559913722
4	86.73724329496812
5	110.5411005768921
6	112.54934318230124
7	104.66089688326912
8	102.18837400275972
9	107.93154085536254
10	101.95648504737147
11	107.64728353038046
12	95.75361832982456
13	82.84611069646634
14	92.18119937914798
15	79.78581094276612
16	89.43633807970329
17	96.6142569280385
18	101.9179183949054
19	98.11454297918382
20	105.16468660440457
21	104.91966629468027
22	125.08192775621791
23	102.33355294731807
24	99.32899156181227
25	94.4959740237272
26	99.77990517004129
27	97.89438022288635
28	115.36706212047442
29	130.99979491298566
30	145.42564405110076
31	144.976576472997
32	155.92376906495022
33	132.96432244725239
34	137.06803751005893
35	149.74134119793996
36	185.6446208388159
37	203.6216340634899
38	191.03060315837735
39	179.03762251306753
40	159.8411422077223
41	170.86628756004765
42	160.3068573480394
43	154.44704844392967
44	152.31161309217563
45	151.35128179676656
46	163.19068992562558
47	146.59071544657095
48	147.5768163612983
49	133.34776981942326
50	154.79904064502344
51	177.07452639979556
52	144.2332962251509
53	151.07038189851642
54	161.7542293184918
55	151.9021844538007
56	148.92521864983115
57	136.52429868203308
58	146.81806955418514
59	136.55283197482285
60	121.10317715192468
61	121.54237224963667
62	120.07969051622118
63	107.68084897581548
64	126.41876069202081
65	118.20362640375438
66	88.0281993310498
67	83.4922351363167
68	81.84264883068413
69	87.85740391593428
70	87.68949525132825
71	92.98333718789907
72	112.90106814620503
73	114.32666831084777
74	105.44282135057541
75	115.34936580317712
76	97.22699777459916
77	100.02631230651258
78	95.77856243079043
79	78.83546345750537
80	61.99106622835302
81	68.21282808268785
82	61.28384555867823
83	71.84755799530869
84	72.18234834988223
85	66.3677244808784
86	75.09736528695872
87	75.58241999306398
88	63.38717689812346
89	61.104120021290925
90	58.458433785192206
91	56.01616443471145
92	55.50709548472512
93	55.40493617131664
94	54.88343446726525
95	55.938187029049054
96	48.79273759333558
97	44.83059267819439
98	44.556263245899885
99	44.20602359664734
