	price
0	100.0
1	100.79635530744714
2	98.86572138268356
3	95.66395574055841
4	104.47923248591796
5	111.47709018106515
6	124.29614122391588
7	138.10918750815267
8	149.60452454579527
9	166.44257648950122
10	154.16432951294803
11	148.82596828020968
12	157.92952555309267
13	180.89820002982725
14	153.10614418323348
15	132.56965974776136
16	157.74230196162088
17	173.2787534230857
18	165.99389872213794
19	139.60006090141738
20	142.75301835107805
21	143.49740072249205
22	149.19694592882766
23	158.27992828289558
24	185.207522410225
25	189.0256815380946
26	212.7088267383322
27	206.47336323941562
28	187.53242039604757
29	189.06604679071359
30	149.00609365775898
31	137.53640770852783
32	125.65451941800306
33	118.89689503283998
34	115.1848933317967
35	130.95204572881642
36	147.6667512856118
37	140.64173266792483
38	148.9399719500897
39	178.95820934409227
40	151.7482940112598
41	147.26387766351152
42	134.16347768981032
43	131.18240296712975
44	128.60165996721284
45	128.03017823898722
46	135.1196029114043
47	160.53472723105114
48	137.16812149091524
49	133.17778566726756
50	127.18767871847356
51	129.5145345515769
52	127.58131558278897
53	113.42808217028403
54	113.91330697743346
55	102.48648452024108
56	113.18015038819321
57	107.43297460096001
58	94.90156673223075
59	110.9552700814944
60	114.19870271932164
61	99.54713198251102
62	93.75938127681692
63	102.77884649143697
64	111.4454742441032
65	116.77668268427882
66	131.34361826013256
67	140.331751009459
68	115.72645075338238
69	119.25124130940186
70	119.49981115532232
71	121.53927529546638
72	123.64236819478103
73	121.98517354378426
74	129.2303617966538
75	131.59395842805696
76	118.32730425838024
77	102.1733119251644
78	114.71775832099205
79	105.37095569297223
80	98.32389676932422
81	90.30456869272973
82	101.72624362228235
83	97.83119959889962
84	110.99589219746485
85	102.84497680015168
86	95.79401609650809
87	103.91914351373511
88	103.90914792892308
89	103.06079471593584
90	91.56963778710931
91	87.65090522087753
92	88.60504878270805
93	88.76831021631973
94	96.81452128126493
95	110.4804185484408
96	125.4599062050905
97	138.20440291900246
98	129.10980518563616
99	129.36386437320309
