	price
0	100.0
1	95.92000647720988
2	104.97909664723933
3	74.03495530708386
4	82.27721216754038
5	83.10639280206743
6	89.52988272653126
7	94.9433839339996
8	100.35678257166171
9	92.97026058705129
10	89.00946122350138
11	87.51708352140388
12	83.42562306623117
13	81.32840337416367
14	72.79197468242795
15	76.28425659881721
16	78.89554106187909
17	73.30230299644137
18	82.33833182865396
19	95.40233698763963
20	98.61889976969087
21	88.73337969795617
22	98.36890329716418
23	91.56541799575282
24	90.59939575731656
25	96.97597083512362
26	98.14980781438156
27	106.02634229476973
28	109.26077844654834
29	97.86148629821368
30	94.58757650772692
31	81.0615917881063
32	77.74384857891215
33	83.76030354508467
34	81.27966343755143
35	74.4633824623782
36	74.74754482753322
37	75.3258353657177
38	89.39978027650189
39	89.02108149398623
40	96.34241867420424
41	94.29028085923814
42	88.46250946163487
43	88.82962798872919
44	90.05479054602456
45	93.90292698820008
46	107.4503081834283
47	132.5674092081872
48	145.66074887359096
49	165.15091234906578
50	174.35789821252044
51	171.59313405022613
52	161.285943836569
53	164.19385313096905
54	151.86515143470717
55	165.2569212153071
56	167.718112938343
57	186.35809287147285
58	183.55879205829532
59	180.9253919063651
60	200.42036452106956
61	228.41758855599195
62	203.43557144081763
63	187.87202085971535
64	169.60284117056364
65	180.9232422787076
66	189.12851306353355
67	213.12670336485405
68	225.22820745874733
69	213.48596996491216
70	177.63746381476142
71	171.99500229843528
72	165.71104529058059
73	173.67302736457918
74	157.89408986049045
75	147.3537087414398
76	156.39118642916543
77	133.55131496093426
78	119.25410078703761
79	115.38414800075155
80	106.23951228663476
81	109.3159273855357
82	90.29647775075695
83	96.04670176449625
84	97.46060352014246
85	83.06782861920355
86	88.28537146265433
87	91.53024319360931
88	93.09860771055307
89	112.59378419290246
90	106.37964218661276
91	105.73897968881299
92	90.63049235976558
93	75.4200580536165
94	74.27607341341714
95	67.93225534780024
96	79.46884384393286
97	100.31479356226083
98	108.15142157883982
99	96.66711728048968
