	price
0	100.0
1	94.82234011684231
2	99.98038245020447
3	91.46632667907963
4	84.79589119274713
5	74.80770986778559
6	72.73618391917991
7	65.69479232749657
8	65.98599740666295
9	72.79136187959394
10	81.12503616170773
11	68.65901588336037
12	72.80268299964003
13	71.55694014167129
14	64.33219018661515
15	57.96346777722593
16	54.916963034883715
17	48.91847202697004
18	38.45941077771878
19	38.408974835051076
20	39.97885809179697
21	41.26577326032523
22	40.63932720460085
23	32.51736509908529
24	38.865994634982556
25	40.46976667961335
26	39.03452916811046
27	40.41888604840861
28	40.2369309606297
29	43.60239520938964
30	44.96153618404674
31	41.885534340941014
32	36.687237758943525
33	33.430186256851975
34	33.8775433872445
35	32.12091758191237
36	35.71113819471647
37	37.04292436648635
38	38.327503783972574
39	43.453327204293835
40	46.00964574477479
41	45.2400040593796
42	45.86042849524532
43	44.46381573621012
44	43.15480845441331
45	42.69522209624652
46	40.30267357385329
47	36.181632736561724
48	35.6472916054471
49	32.48588114994571
50	32.9035388399403
51	34.597207469067584
52	35.90194102652741
53	31.49497894979442
54	27.49271720494505
55	24.263947289854812
56	23.897995093911785
57	27.304937529041656
58	29.161524421692654
59	31.09452694401433
60	30.95770768235641
61	34.08920030283601
62	37.213303982648895
63	38.131108439950026
64	31.570962652137002
65	35.12070415577822
66	36.34529878018906
67	33.844630430402624
68	29.122231546341315
69	27.804985010948783
70	29.367098732354364
71	28.158622725818933
72	24.99623392688653
73	21.289178327713266
74	21.470208363002836
75	19.731944917382467
76	23.005635173222686
77	25.40769497371849
78	26.828790925990006
79	26.696444814155264
80	29.040768144857598
81	26.12292131839906
82	29.35254491572662
83	31.40434108304187
84	29.683065568872962
85	36.240854822289705
86	34.15050423489857
87	34.107059719768955
88	31.718842590993674
89	32.73712315997035
90	30.829455463022835
91	28.35813124808338
92	28.12557538691137
93	31.444504248219676
94	34.364417069142235
95	33.09918061173827
96	35.81358794398337
97	38.35240825833008
98	37.86112029037072
99	39.61373412206337
